a [a:]
sesyans [‘sɛ:zjans]
sewyans [‘sɛʊjans]
seytegves [sɛɪ’tɛgvɛs]
setha [‘sɛθa]
seytek [‘sɛɪtɛk]
sethas [‘sɛθas]
seyth [sɛɪθ]
sether [‘sɛθɛr]
sethores [sɛ’θɔrɛs]
seythen [‘zɛɪθɛn]
sett [sɛt]
settya [‘sɛtja]
seythennyek [sɛɪ’θɛn:jɛk]
seudh [sø:ð]
seythves [‘sɛɪθfɛs]
seudhel [‘sœðɛl]
shackya [‘ʃakja]
seul [sø:l]
shackyans [‘ʃakjans]
seulabrys [səla’brɪ:z]
shafta [‘ʃafta]
sham [ʃa:m]
shamya [‘ʃa:mja]
seuladhydh [səla’ðɪ:ð]
shap [ʃa:p]
shapya [‘ʃaˑpja]
shara [‘ʃa:ra]
skansek [‘skanzɛk]
sheft [ʃɛft]
skant [skant]
sherp [ʃɛrp]
shinya [‘ʃiˑnja]
skantlin [‘skantlɪn]
shogra [‘ʃɤgra]
shoppa [‘ʃɔpa]
skantlowr [‘skantlɔʊr]
skantlyn [‘skantlɪn]
shora [‘ʃɔra]
skantys [‘skantɪs]
showr [ʃɔʊr]
skanyer [‘skanjɛr]
skapya [‘skapja]
shyndya [‘ʃɪndja]
skath [ska:θ]
shyndyans [‘ʃɪndjans]
shyndys [‘ʃɪndɪs]
skatt [skat]
si [si:]
sia [‘si:a]
skattra [‘skatra]
sians [‘si:ans]
skav [ska:v]
silikon [‘sɪlɪkɔn]
skavder [‘skavdɛr]
sim [si:m]
sin [si:n]
skavel [‘skavɛl]
sina [‘sina]
sinans [‘sinans]
skaw [skaˑʊ]
sinell [‘sinɛl]
sinya [‘si:nja]
skentel [‘skɛntɛl]
sira [‘si:ra]
skentoleth [skɛn’tɔlɛθ]
sker [skɛ:r]
siw [siˑʊ]
skeri [‘skɛri]
skafhe [ˌskaf’hɛ:]
skes [skɛ:z]
skesya [‘skɛzja]
skajyn [‘skaʤɪn]
skala [‘ska:la]
sketh [skɛ:θ]
skaldya [‘skaldja]
skethen [‘skɛθɛn]
skaldyans [‘skaldjans]
skalpyon [‘skalpjɔn]
skampi [‘skampi]
skans [skans]
skeul [skø:l]
skit [ski:t]
skitell [‘skitɛl]
skeulya [‘skœlja]
skeus [skø:z]
skitya [‘ski:tja]
skityans [‘ski:tjans]
skeusek [‘skœzɛk]
sklander [‘sklandɛr]
skeusen [‘skœzɛn]
sklandra [‘sklandra]
skeusenieth [ˌskœzɛ’ni:ɛθ]
skeusenner [skœ’zɛn:ɛr]
skochfordh [‘skɔʧfɔrð]
skeusenores [ˌskœzɛ’nɔrɛs]
skochkelgh [‘skɔʧkɛlx]
skeusenweyth [skœ’zɛnwɛɪθ]
skeusi [‘skœzi]
skodhyores [skɤð’jɔrɛs]
skevens [‘skɛvɛns]
skew [skɛˑʊ]
skogyn [‘skɔgɪn]
ski [ski:]
skol [skɔ:l]
skia [‘ski:a]
skians [‘ski:ans]
skoler [‘skɔlɛr]
skiansek [ski’anzɛk]
skolheygel [skɔl’hɛɪgɛl]
skolheyges [skɔl’hɛɪgɛs]
skiansoges [ˌskiˑan’zɔgɛs]
skolheygieth [ˌskɔlhɛɪ’gi:ɛθ]
skiber [‘skibɛr]
skiens [‘ski:ɛns]
skolheyk [‘skɔlhɛɪk]
skiensek [ski’ɛnzɛk]
skolji [‘skɔlʤi]
skiensydh [ski’ɛnzɪð]
skolk [skɔlk]
skolkya [‘skɔlkja]
skiensydhes [ˌskiɛn’zɪðɛs]
skoll [skɤl:]
skientek [ski’ɛntɛk]
skollya [‘skɤl:ja]
skila [‘skɪla]
skinen [‘skinɛn]
skollyans [‘skɤlˑjans]
Skotes [‘skɔtɛs]
skollyek [‘skɤlˑjɛk]
skollyon [‘skɤlˑjɔn]
Skott [skɔt]
skovarn [‘skɔvarn]
skolores [skɔ’lɔrɛs]
skovarnek [skɔ’varnɛk]
skolva [‘skɤlva]
skolvaw [‘skɔlvaʊ]
skovarnigow [ˌskɔvar’nigɔʊ]
skolvester [skɔl’vɛ:stɛr]
skovva [‘skɔva]
skolvestres [skɔl’vɛstrɛs]
skowl [skɔʊl]
skrambla [‘skrambla]
skravinyas [skra’vɪnjas]
skrew [skrɛˑʊ]
skolvowes [skɔl’vɔwɛs]
skrewya [‘skrɛʊja]
skriba [‘skriba]
skomm [skɔm:]
skrif [skri:f]
skommen [‘skɔm:ɛn]
skrifa [‘skrifa]
skrifedh [‘skrifɛ(ð)]
skon [skɔ:n]
skons [skɔns]
skonya [‘skɔnja]
skrifennyas [skrɪ’fɛnˑjas]
skrifenyades [ˌskrɪfɛn’jadɛs]
skoodh [sko:ð]
skrifenyaseth [ˌskrɪfɛn’jazɛθ]
skoodhya [‘skoˑðja]
skrifer [‘skrifɛr]
skoodhyans [‘skoˑðjans]
skoodhyer [‘skoˑðjɛr]
skoos [sko:z]
skrifores [skrɪ’fɔrɛs]
skorn [skɔrn]
skornya [‘skɔrnja]
skrifsagh [‘skrɪfsax]
skrifwas [‘skrɪfwas]
skorren [‘skɔr:ɛn]
skrifyades [‘skrɪfjas]
skotek [‘skɔtɛk]
skrifyas [‘skrɪfjas]
skwir [skwi:r]
skrij [skri:ʤ]
skrija [‘skriʤa]
skwith [skwi:θ]
skrin [skri:n]
skwitha [‘skwiθa]
skrinva [‘skrɪnva]
skwithter [‘skwɪθtɛr]
skriptor [‘skrɪptɤr]
skwithus [‘skwiθʏs]
skrisel [‘skrizɛl]
skwithys [‘skwiθɪs]
skriven [‘skrivɛn]
skwych [skwɪʧ]
skruth [skry:θ]
skwychell [‘skwɪʧɛl]
skrutha [‘skrʏθa]
skruthus [‘skrʏθʏs]
skwychella [skwɪ’ʧɛl:a]
skrybla [‘skrɪbla]
skwychya [‘skwɪʧja]
skryblans [‘skrɪblans]
skrynk [skrɪŋk]
skrynkya [‘skrɪŋkja]
skrypp [skrɪp]
skub [sky:b]
skubell [‘skʏbɛl]
skyll [skɪl:]
skylla [‘skɪl:a]
skubellik [skʏ’bɛl:ɪk]
skynnya [‘skɪnˑja]
skuber [‘skʏbɛr]
skyppya [‘skɪpja]
skyrmya [‘skɪrmja]
skubores [skʏ’bɔrɛs]
slackya [‘slakja]
skubus [‘skʏbʏs]
sley [slɛˑɪ]
skubya [‘skʏbja]
skubyllen [skʏ’bɪl:ɛn]
sleyneth [‘slɛɪnɛθ]
slim [sli:m]
Slovak [‘slɔvak]
skubyon [‘skʏbjɔn]
slovakek [slɔ’vakɛk]
Slovakes [slɔ’vakɛs]
skudel [‘skʏdɛl]
Slovaki [slɔ’vaki]
Sloven [slɔ’vɛ:n]
skwardya [‘skwardja]
Slovenek [slɔ’vɛnɛk]
skwatt [skwat]
slovenek [slɔ’vɛnɛk]
skwattya [‘skwatja]
Slovenes [slɔ’vɛnɛs]
Sloveni [slɔ’vɛni]
sofa [‘sɔ:fa]
slynk [slɪŋk]
soffra [‘sɤfra]
slynkya [‘slɪŋkja]
smat [sma:t]
soghelin [sɔh’ɛlɪn]
smodh [smɔ:ð]
sojet [‘sɔʤɛt]
smurf [smʏrf]
snell [snɛl:]
sojeta [sɔ’ʤɛta]
snobbyn [‘snɔbɪn]
sokor [‘sɔkɔr]
snod [snɔ:d]
sokra [‘sɔkra]
soled [‘sɔlɛd]
solem [‘sɔlɛm]
socyal [‘sɔsjal]
solempnita [sɔ’lɛmpnɪta]
socyalieth [ˌsɔsja’li:ɛθ]
solempnya [sɔ’lɛmpnja]
socyalydh [sɔs’jalɪð]
solempnyans [sɔ’lɛmpnjans]
socyalydhek [ˌsɔsja’lɪðɛk]
solempnyel [sɔ’lɛmpnjɛl]
socyalydhes [ˌsɔsja’lɪðɛs]
soler [‘sɔlɛr]
socyologieth [sɔsˌjɔlɔ’gi:ɛθ]
solo [‘sɔ:lɔ]
socyologiethek [ˌsɔsjɔˌlɔgi’ɛθɛk]
sols [sɔls]
solva [‘sɔlva]
socyologydh [ˌsɔsjɔ’lɔgɪð]
somm [sɔm:]
socyologydhes [sɔsˌjɔlɔ’gɪðɛs]
sommen [sɔm:ɛn]
soda [‘sɔda]
sompna [‘sɔmpna]
sodha [‘sɤða]
son [sɔ:n]
sodhek [‘sɤðɛk]
sona [‘sɤna]
sodhogel [sɤ’ðɔgɛl]
sondyans [‘sɔndjans]
sodhoges [sɤ’ðɔgɛs]
sonek [‘sɔnɛk]
sodhva [‘sɤðva]
sonell [‘sɔnɛl]
sonet [‘sɔnɛt]
sonlergh [‘sɔnlɛrx]
sodones [sɔ’dɔnɛs]
sononieth [ˌsɔnɔ’ni:ɛθ]
sodron [‘sɔdrɔn]
sononiethel [sɔˌnɔni’ɛθɛl]
sonskrif [‘sɔnskrɪf]
souba [‘su:ba]
souben [‘su:bɛn]
sonskrifa [sɔn’skrifa]
souder [‘su:dɛr]
soodh [so:ð]
souderji [sʊ’dɛrʤi]
soon [‘so:n]
soov [so:v]
soudores [sʊ’dɔrɛs]
soper [‘sɔpɛr]
sovran [‘sɔvran]
sopposya [sɔ’pɔ:zja]
sovranedh [sɔv’ranɛð]
sowdhan [‘sɔʊðan]
soprano [sɔp’ranɔ]
sowdhanas [sɔʊ’ðanas]
sordya [‘sɔrdja]
sowdheni [sɔʊ’ðɛni]
sordyans [‘sɔrdjans]
sowdhenys [sɔʊ’ðɛnɪs]
sorn [sɔrn]
sorr [sɔr:]
sorrvan [‘sɔrvan]
soweth [sɔ’wɛ:θ]
sowl [sɔʊl]
sortya [‘sɔrtja]
sowlenna [sɔʊ’lɛn:a]
sos [sɔ:s]
sowman [‘sɔʊman]
sosten [‘sɔstɛn]
sowndya [‘sɔʊndja]
sostena [sɔs’tɛna]
Sows [sɔʊz]
sostenadewder [sɔsˌtɛna’dɛʊdɛr]
Sows- [sɔʊs-]
sows [sɔʊs]
sostenadow [ˌsɔstɛ’nadɔʊ]
Sowses [‘sɔʊzɛs]
sotel [‘sɔtɛl]
Sowsneger [sɔʊz’nɛgɛr]
sotelneth [sɔ’tɛlnɛθ]
soth [sɔ:θ]
soth-est [ˌsɔˑθ’ɛ:st]
sowsneger [sɔʊz’nɛgɛr]
soth-west [ˌsɔˑθ’wɛ:st]
Sowsnegores [ˌsɔʊznɛ’gɔrɛs]
Sowsnek [‘sɔʊznɛk]
spernek [‘spɛrnɛk]
sowsnek [‘sɔʊznɛk]
spik [spi:k]
sowsnekhe [ˌsɔʊsnɛk’hɛ:]
spinach [‘spɪnaʧ]
spis [spi:s]
sowter [‘sɔʊtɛr]
spisa [‘spi:sa]
spadha [‘spaða]
spisek [‘spi:sɛk]
spiser [‘spi:sɛr]
spadhesik [spa’ðɛzɪk]
spisti [‘spɪsti]
spit [spi:t]
spal [spa:l]
spitus [‘spitʏz]
spala [‘spala]
spar [spa:r]
sparya [‘spa:rja]
spas [spa:s]
splander [‘splandɛr]
spaven [‘spavɛn]
splann [splan:]
spavenhe [ˌspavɛn’hɛ:]
spavnel [‘spavnɛl]
splanna [‘splan:a]
Spayn [spaɪn]
splatt [splat]
Spaynek [‘spaɪnɛk]
splattya [‘splatja]
spong [spɔŋg]
spaynek [‘spaɪnɛk]
sport [spɔrt]
Spaynyer [‘spaɪnjɛr]
sportva [‘spɔrtva]
Spaynyores [spaɪn’jɔrɛs]
sportyades [spɔrt’jadɛs]
specyli [‘spɛsjəli]
sportyas [‘spɔrtjas]
speda [‘spɛ:da]
sprall [spral:]
spedhas [‘spɛðas]
spralla [‘spral:a]
sprallansedh [spra’lanzɛð]
spedya [‘spɛ:dja]
spena [‘spɛ:na]
spencer [‘spɛnsɛr]
sprus [spry:z]
sprusek [‘sprʏzɛk]
spendya [‘spɛndjɐ]
spens [spɛns]
spenys [‘spɛnɪs]
sprusen [‘sprʏzɛn]
spera [‘spɛ:ra]
spern [spɛrn]
spryngya [‘sprɪŋgja]
spyrys [‘spɪrɪs]
spys [spɪ:z]
sterji [‘stɛrʤi]
stacyon [‘stasjɔn]
sterlester [stɛr’lɛstɛr]
stervarner [ˌstɛr’varnɛr]
stervarnores [ˌstɛrvar’nɔrɛs]
staga [‘staga]
steus [stø:z]
stagell [‘stagɛl]
steuv [stø:v]
steuvi [‘stœvi]
stalacyon [sta’lasjɔn]
stevel [‘stɛvɛl]
stamp [stamp]
stampya [‘stampja]
stanch [stanʧ]
stevnik [‘stɛvnɪk]
stanchura [stanʧ’yra]
stif [sti:f]
standard [‘standart]
stifa [‘stifa]
stifek [‘stifɛk]
stank [staŋk]
stifella [stɪ’fɛl:a]
stifjyn [‘stɪfʤɪn]
stankya [‘staŋkja]
stiflinder [stɪf’lɪndɛr]
stark [stark]
stifliv [‘stɪflɪv]
stat [sta:t]
stiwen [‘stɪwɛn]
stiwenna [stɪ’wɛn:a]
stlavedh [‘stlavɛð]
statya [‘sta:tja]
stlevi [‘stlɛvi]
statydh [‘statɪð]
stock [stɔk]
statydhes [sta’tɪðɛs]
stoff [stɔf]
stoffki [‘stɔfki]
statystek [sta’tɪstɛk]
stons [stɔns]
stoppya [‘stɔpja]
statystyk [sta’tɪstɪk]
stoppyer [‘stɔpjɛr]
stordi [‘stɔrdi]
stayr [staɪr]
stori [‘stɔri]
sten [stɛ:n]
stout [stu:t]
stenek [‘stɛnɛk]
straft [straft]
stenor [‘stɛnɔr]
stenores [stɛ’nɔrɛs]
straght [straxt]
stranjer [‘stranʤɛr]
ster [stɛ:r]
stergelgh [‘stɛrgɛlx]
stras [stra:z]
strel [strɛ:l]
strem [strɛ:m]
stret [strɛ:t]
studhyer [‘stʏðjɛr]
studhyores [stʏð’jɔrɛs]
strethur [‘strɛθʏr]
studhyus [‘stʏðjʏs]
strethurek [strɛ’θʏrɛk]
stumm [stʏm:]
stretwikor [ˌstrɛt’wɪkɔr]
stumma [‘stʏm:a]
stretwikores [ˌstrɛtwɪ’kɔrɛs]
stretyn [‘strɛ:tɪn]
stummans [‘stʏm:ans]
strif [stri:f]
stummys [‘stʏm:ɪs]
strifwerth [‘strɪfwɛrθ]
styr [stɪ:r]
strifwertha [strɪf’wɛrθa]
strifwerther [strɪf’wɛrθɛr]
styrrya [‘stɪrˑja]
styrya [‘stɪrja]
strifwerthores [ˌstrɪfwɛr’θɔrɛs]
strik [stri:k]
styryans [‘stɪrjans]
strivya [‘stri:vja]
strivyans [‘stri:vjans]
styward [‘stɪwart]
striw [striˑʊ]
substans [‘sʏbstans]
striwi [‘striwi]
strol [strɔ:l]
substansek [sʏp’stansɛk]
strolya [‘strɔlja]
strolyek [‘strɔljɛk]
sudron [‘sʏdrɔn]
strooth [stro:θ]
sugal [‘sʏgal]
strotha [‘strɤθa]
sugen [‘sʏgɛn]
strothans [‘strɤθans]
strothys [‘strɤθɪs]
sugna [‘sʏgna]
strus [stry:z]
sugnek [‘sʏgnɛk]
studh [sty:ð]
sugra [‘sʏgra]
sujestiv [sʏ’ʤɛstɪv]
studhla [‘stʏðla]
Sul [sy:l]
studhva [‘stʏðva]
sulfur [‘sʏlfʏr]
studhya [‘stʏðja]
Sulgweyth [‘sʏlgwɛɪθ]
studhyans [‘stʏðjans]
sur [sy:r]
synsys [‘sɪnzɪs]
surhe [ˌsʏr’hɛ:]
Synt [sɪnt]
surheans [sʏr’hɛ:ans]
Synta [‘sɪnta]
synthesek [sɪn’θɛzɛk]
surneth [‘sʏrnɛθ]
syr [sɪ:r]
syrop [‘sɪrɔp]
surredi [ˌsʏrɛ’di:]
syrra [‘sɪr:a]
swan [swa:n]
system [‘sɪstɛm]
Swed [swɛ:d]
systemasek [ˌsɪstɛ’mazɛk]
Swedek [‘swɛ:dɛk]
syth [sɪ:θ]
swedek [‘swɛ:dɛk]
ta [tɐ]
Sweden [‘swɛ:dɛn]
-ta [ta]
Swedes [‘swɛ:dɛs]
tabel [‘ta:bɛl]
Swis [swi:s]
swis [swi:s]
Swisalmaynek [ˌswisal’maɪnɛk]
tabou [ta’bu:]
Swises [‘swisɛs]
tabour [‘tabʊr]
syg [sɪ:g]
syger [‘sɪgɛr]
tabourer [ta’bu:rɛr]
sygerneth [sɪ’gɛrnɛθ]
tabourores [ˌtabʊ’rɔrɛs]
sygerus [sɪ’gɛrʏs]
sygh [sɪ:x]
syght [sɪxt]
tag [ta:g]
sylaben [sɪ’labɛn]
taga [‘taga]
Syllan [‘sɪl:an]
tagel [‘tagɛl]
sylli [sɪl:i]
tagg [tag]
symfoni [‘sɪmfɔni]
taggya [‘tagja]
synaga [‘sɪnaga]
syndrom [‘sɪndrɔm]
taklans [‘taklans]
taklen [‘taklɛn]
taksi [‘taksi]
synsi [‘sɪnzi]
taktek [‘taktɛk]
tal [ta:l]
talar [‘talar]
tanjerin [ˌtanʤɛ’ri:n]
talas [‘talas]
tanjys [‘tanʤɪs]
talben [‘talbɛn]
tank [taŋk]
talek [‘talɛk]
tanker [‘taŋkɛr]
talenep [tal’ɛnɛp]
tanlu [‘tanly]
talgam [‘talgam]
talgamma [tal’gam:a]
tanow [‘tanɔʊ]
talgell [‘talgɛl]
tanowder [ta’nɔʊdɛr]
tallyour [‘talˑjur]
tanowhe [ˌtanɔʊ’hɛ:]
tallytheren [ˌtallɪ’θɛrɛn]
tanta [‘tanta]
talsogh [‘talzɔx]
tanweyth [‘tanwɛɪθ]
talsogha [tal’sɔha]
tapa [‘ta:pa]
talvedhys [tal’vɛðɪz]
tapp [tap]
talvesa [tal’vɛza]
tar [ta:r]
talvos [‘talvɔs]
taran [‘taran]
talvosek [tal’vɔzɛk]
talvosogeth [ˌtalvɔzɔgɛθ]
tarder [‘tardɛr]
tardh [‘tarð]
Tamar [‘tamɛr]
tamm [tam:]
tardha [‘tarða]
tardhans [‘tarðans]
tan [ta:n]
tardhell [‘tarðɛl]
tardra [‘tardra]
tarenna [ta’rɛn:a]
tanbelennik [ˌtanbɛ’lɛn:ɪk]
tarosvan [ta’rɔzvan]
tanbellen [tan’bɛl:ɛn]
tarosvannus [ˌtarɔz’van:ʏs]
tanbren [‘tanbrɛn]
tarow [‘tarɔʊ]
tangasor [taŋ’gazɔr]
tart [tart]
tarten [‘tartɛn]
tangasores [ˌtaŋga’zɔrɛs]
tarya [‘tarja]
tas [ta:z]
taw [taˑʊ]
tawell [‘tawɛl]
tawesek [ta’wɛzɛk]
tasegi [ta’zɛgi]
te [tɛ:]
tasegus [ta’zɛgʏs]
tebel [‘tɛbɛl]
tasek [‘tazɛk]
tebeldyghtya [ˌtɛbɛl’dɪxtja]
tasik [‘tazɪk]
tasoleth [ta’zɔlɛθ]
tebeldyghtyans [ˌtɛbɛl’dɪxtjans]
tasrewl [‘tazrɛʊl]
tebel-el [ˌtɛbɛl’ɛ:l]
tebelfara [ˌtɛbɛl’fa:ra]
tebel-hanow [ˌtɛbɛl’hanɔʊ]
tassans [‘tasans]
tast [ta:st]
tebelvest [tɛ’bɛlvɛst]
tastya [‘tastja]
tasveth [‘tazvɛθ]
tatou [ta’tu:]
tebot [‘tɛbɔt]
tava [‘tava]
tecken [‘tɛkɛn]
tavas [‘tavəs]
tavell [‘tavɛl]
taver [‘tavɛr]
tavern [‘tavɛrn]
teg [tɛ:g]
tavernor [ta’vɛrnɔr]
tavernores [ˌtavɛr’nɔrɛs]
tegen [‘tɛgɛn]
tegh [tɛ:x]
taves [‘tavɛs]
teghes [‘tɛhɛs]
tegyrin [tɛg’ɪrɪn]
tavlinen [tav’linɛn]
tekel [‘tɛkɛl]
tekhe [ˌtɛk’hɛ:]
tavlinennel [ˌtavli’nɛn:ɛl]
teknegieth [ˌtɛknɛ’gi:ɛθ]
tavol [‘tavɔl]
tavosa [ta’vɔza]
teknegydh [tɛk’nɛgɪð]
tavosek [ta’vɔzɛk]
teknogel [tɛk’nɔgɛl]
tavoseth [ta’vɔzɛθ]
teknologieth [ˌtɛknɔlɔ’gi:ɛθ]
tempredhlinen [ˌtɛmprɛð’linɛn]
tekst [tɛkst]
tekter [‘tɛktɛr]
temprer [‘tɛmprɛr]
tektonek [tɛk’tɔnɛk]
tektonieth [ˌtɛktɔ’ni:ɛθ]
temprores [tɛmp’rɔrɛs]
televisyon [ˌtɛlɛ’vɪzjɔn]
temprys [‘tɛmprɪs]
tellek [‘tɛl:ɛk]
temptya [‘tɛmptja]
temptyans [‘tɛmptjans]
tender [‘tɛn(d)ɛr]
tenewen [tɛ’nɛwɛn]
telli [‘tɛl:i]
tellyas [‘tɛlˑjas]
tenkys [‘tɛŋkɪs]
tellys [‘tɛl:ɪs]
tenn [tɛn:]
teloges [tɛ’lɔgɛs]
tenna [‘tɛn:a]
telyades [tɛl’jadɛs]
tennis [‘tɛn:ɪs]
tennlester [tɛn’lɛstɛr]
telyn [‘tɛlɪn]
tennros [‘tɛnrɤz]
telynnek [tɛ’lɪn:ɛk]
tennven [‘tɛnvɛn]
telynnya [tɛ’lɪnˑja]
telynnyer [tɛ’lɪnˑjɛr]
tennvenek [tɛn’vɛnɛk]
tennvenieth [ˌtɛnvɛ’ni:ɛθ]
telynyores [ˌtɛlɪn’jɔrɛs]
tennvenya [tɛn’vɛnja]
temmik [‘tɛm:ɪk]
tennvos [‘tɛnvɔs]
tempel [‘tɛmpɛl]
tennvosek [tɛn’vɔzɛk]
templa [‘tɛmpla]
tempores [tɛm’pɔrɛs]
tenor [‘tɛnɔr]
tent [tɛnt]
tempra [‘tɛmpra]
tenva [‘tɛnva]
tempredh [‘tɛmprɛð]
ter- [tɛr-]
tempredhell [tɛm’prɛðɛl]
terabayt [‘tɛrabaɪt]
terder [‘tɛrdɛr]
terderus [tɛr’dɛrʏs]
terthennek [tɛ’rθɛn:ɛk]
tervans [‘tɛrvans]
terebo [tə’rɛbɔ]
tereylya [tɛr’ɛɪlja]
tereylyans [tɛr’ɛɪljans]
tervysk [‘tɛrvɪsk]
terghi [‘tɛrhi]
tervyska [tɛr’vɪska]
tergoska [tɛr’gɔska]
teri [‘tɛri]
terlemmel [tɛr’lɛm:ɛl]
tes [tɛ:z]
tesa [‘tɛza]
terlentri [tɛr’lɛntri]
tesek [‘tɛzɛk]
tesel [‘tɛzɛl]
term [tɛrm]
tesen [‘tɛzɛn]
termyn [‘tɛrmɪn]
testament [tɛ’stamɛnt]
testen [‘tɛstɛn]
terneyja [tɛr’nɛɪʤa]
testifia [ˌtɛstɪ’fi:a]
ternos [tər’nɔ:z]
testskrif [‘tɛstskrɪf]
tesvusurell [ˌtɛzvʏ’zʏrɛl]
terosa [tɛ’rɤza]
teth [tɛ:θ]
tethen [‘tɛθɛn]
terosus [tɛ’rɤzʏs]
terosva [tɛ’rɤzva]
tetivali [ˌtɛtɪ’vali]
tetti [‘tɛti]
terras [‘tɛr:as]
teudh [tø:ð]
teudha [‘tœða]
terri [‘tɛr:i]
teudhans [‘tœðans]
terros [‘tɛr:ɤs]
teudhi [‘tœði]
terrys [‘tɛr:ɪs]
teudhla [‘tœðla]
teuregel [tœ’rɛgɛl]
terthen [‘tɛrθɛn]
teurek [‘tœrɛk]
tevesiges [ˌtɛvɛ’zɪgɛs]
tevesik [tɛ’vɛzɪk]
thema [‘θɛma]
tevi [‘tɛvi]
themasek [θɛ’mazɛk]
tevyans [‘tɛvjans]
theorem [θɛ’ɔrɛm]
tew [tɛˑʊ]
thermometer [ˌθɛrmɔ’mɛtɛr]
tewal [‘tɛwal]
tewder [‘tɛʊdɛr]
tewedh [‘tɛwɛð]
tiara [ti’ara]
tewedha [tɛ’wɛða]
tiek [‘ti:ɛk]
tewel [‘tɛwɛl]
tigen [‘tɪgɛn]
tewes [‘tɛwɛs]
tiger [‘ti:gɛr]
tewesek [tɛ’wɛzɛk]
tin [ti:n]
tewesen [tɛ’wɛzɛn]
tewhe [ˌtɛʊ’hɛ:]
tioges [ti’ɔgɛs]
tewl [‘tɛʊl]
tior [‘ti:ɔr]
tewlder [‘tɛʊldɛr]
tewlel [‘tɛʊlɛl]
tiores [ti’ɔrɛs]
tipek [‘ti:pɛk]
tir [ti:r]
tewlhe [ˌtɛʊl’hɛ:]
tira [‘tira]
tewlwolow [tɛwl’wɔlɔʊ]
tiredh [‘tirɛð]
tewolgow [tɛ’wɔlgɔʊ]
tewyn [‘tɛwɪn]
tirlanow [tɪr’lanɔʊ]
teyl [tɛɪl]
tirnos [‘tɪrnɔs]
teylu [‘tɛɪly]
tirwedh [‘tɪrwɛð]
titaniom [tɪ’ta:niɔm]
teyrgweyth [‘tɛɪrgwɛɪθ]
titel [‘titɛl]
tiyades [tɪ’jadɛs]
teyrros [‘tɛɪr:ɔs]
teythi [‘tɛɪθi]
tiyas [‘tijas]
tnow [‘tnɔʊ]
teythyek [‘tɛɪθjɛk]
to [tɔ:]
teythyoges [tɛɪθ’jɔgɛs]
tobacko [tɔ’bakɔ]
tollgorn [‘tɔlgɔrn]
tolli [‘tɔl:i]
tollva [‘tɔlva]
tollvowes [tɔl’vɔwɛs]
tollwas [‘tɔlwas]
toch [tɔ:ʧ]
tochpad [‘tɔʧpad]
tollwisk [‘tɤlwɪsk]
tochskrin [‘tɔʧskrɪn]
tollwiska [tɤl’wɪska]
tollys [‘tɤl:ɪs]
tochya [‘tɔʧja]
tomder [‘tɔmdɛr]
tomm [tɤm:]
tomma [tɤm:a]
tokyn [‘tɔkɪn]
tommen [‘tɔm:ɛn]
tokynner [tɔ’kɪn:ɛr]
tommhe [ˌtɔmˑ’hɛ:]
tokynores [ˌtɔkɪ’nɔrɛs]
tommheans [ˌtɔmˑ’hɛ:ans]
tokynva [tɔ’kɪnva]
ton [tɔ:n]
ton-lev [ˌtɔˑn’lɛ:v]
tonn [tɔn:]
tonnas [‘tɔn:as]
tonnek [‘tɔn:ɛk]
tonnhys [‘tɔnhɪs]
tont [tɔnt]
tonteth [‘tɔntɛθ]
tontya [‘tɔ:ntja]
tontyans [‘tɔ:ntjans]
tolla [‘tɤl:a]
tonya [‘tɔnja]
tollborth [‘tɔlbɔrθ]
tollek [‘tɔl:ɛk]
tooth [to:θ]
tourik [‘tu:rɪk]
topp [tɔp]
tourist [‘tu:rɪst]
touristieth [ˌtʊrɪ’sti:ɛθ]
toppyn [‘tɔpɪn]
towargh [‘tɔwarx]
torchen [‘tɔrʧɛn]
towell [‘tɔwɛl]
towl [tɔʊl]
torek [‘tɔrɛk]
Tori [‘tɔri]
towla [‘tɔʊla]
Tories [tɔ’ri:ɛs]
towladow [tɔʊ’ladɔʊ]
torment [‘tɔrmɛnt]
towlargh [‘tɔʊlarx]
tormentya [tɔr’mɛntja]
tormentys [tɔr’mɛntɪs]
torn [tɔrn]
tornyas [‘tɔrnjas]
tornyaseth [tɔrn’jazɛθ]
torras [‘tɔr:as]
towlen [‘tɔʊlɛn]
torrbyff [‘tɔrbɪf]
torrbyffya [tɔr’bɪfja]
towlennans [tɔʊ’lɛn:ans]
torrek [‘tɔr:ɛk]
torth [tɔrθ]
towlenner [tɔʊ’lɛn:ɛr]
torthell [‘tɔrθɛl]
towlenores [ˌtɔʊlɛ’nɔrɛs]
torva [‘tɔrva]
towler [‘tɔʊlɛr]
tosa [‘tɤza]
towlhys [‘tɔʊlhɪs]
tost [tɔ:st]
tothya [‘tɤθja]
towlores [tɔʊ’lɔrɛs]
toul [tu:l]
toulgist [‘tʊlgɪst]
toyt [‘tɔɪt]
touna [‘tu:na]
tra [tra:]
tour [tu:r]
tredanek [trɛ’danɛk]
trad [tra:d]
tredanel [trɛ’danɛl]
tradicyon [tra’dɪsjɔn]
tredaner [trɛ’danɛr]
tradicyonal [ˌtradɪs’jɔnal]
tredanhe [ˌtrɛdan’hɛ:]
traffik [‘trafɪk]
tredanores [ˌtrɛda’nɔrɛs]
trajedi [‘traʤɛdi]
tredanva [trɛ’danva]
trajek [‘traʤɛk]
traktor [‘traktɔr]
tram [tra:m]
tredhegves [trɛ’ðɛgvɛs]
tramor [tra’mɔ:r]
tredhek [‘trɛðɛk]
